"","trait","h2_estimate","is_heritable","dataset","simple_name"
"139","k__Bacteria.p__Tenericutes.c__RF3",0.53309269,"NS","Yatsunenko 2012","c_RF3"
"140","k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia",7.13e-11,"NS","Yatsunenko 2012","c_Sphingobacteriia"
"141","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae",0.125668171,"NS","Goodrich 2014","c_Verrucomicrobiae"
"142","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae",0.597280307,"NS","Yatsunenko 2012","c_Verrucomicrobiae"
"143","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae",0.260585113,"heritable","Goodrich 2014","f_Actinomycetaceae"
"144","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae",0.431364814,"NS","Yatsunenko 2012","f_Actinomycetaceae"
"145","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae",1.25e-13,"NS","Yatsunenko 2012","f_Aerococcaceae"
"146","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Aeromonadaceae",0.103810559,"NS","Yatsunenko 2012","f_Aeromonadaceae"
"147","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae",0,"NS","Goodrich 2014","f_Alcaligenaceae"
"148","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae",0.049493107,"NS","Turnbaugh 2009","f_Alcaligenaceae"
"149","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae",1.41e-13,"NS","Yatsunenko 2012","f_Alcaligenaceae"
"150","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae",0.249102202,"NS","Yatsunenko 2012","f_Bacillaceae"
"151","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae",2.45e-10,"NS","Goodrich 2014","f_Bacteroidaceae"
"152","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae",1.67e-15,"NS","Turnbaugh 2009","f_Bacteroidaceae"
"153","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae",0.092746363,"NS","Yatsunenko 2012","f_Bacteroidaceae"
"154","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae.",0.146749571,"heritable","Goodrich 2014","f_Barnesiellaceae"
"155","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae.",1.51e-12,"NS","Turnbaugh 2009","f_Barnesiellaceae"
"156","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae.",1.9e-13,"NS","Yatsunenko 2012","f_Barnesiellaceae"
"157","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae",0.328301166,"heritable","Goodrich 2014","f_Bifidobacteriaceae"
"158","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae",5.64e-13,"NS","Yatsunenko 2012","f_Bifidobacteriaceae"
"159","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae",9.35e-12,"NS","Yatsunenko 2012","f_Burkholderiaceae"
"160","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae",4.19e-13,"NS","Yatsunenko 2012","f_Campylobacteraceae"
"161","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae",0.016179976,"NS","Goodrich 2014","f_Carnobacteriaceae"
"162","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae",0.429448942,"NS","Yatsunenko 2012","f_Carnobacteriaceae"
"163","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae",0.381940264,"heritable","Goodrich 2014","f_Christensenellaceae"
"164","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae",0.133107006,"NS","Turnbaugh 2009","f_Christensenellaceae"
"165","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae",0.617023121,"NS","Yatsunenko 2012","f_Christensenellaceae"
"166","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae",0,"NS","Goodrich 2014","f_Clostridiaceae"
"167","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae",0.276811012,"NS","Turnbaugh 2009","f_Clostridiaceae"
"168","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae",0.368921782,"NS","Yatsunenko 2012","f_Clostridiaceae"
"169","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae",3.73e-14,"NS","Yatsunenko 2012","f_Comamonadaceae"
