"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","heritability","heritability_se","model_type_significance"
"214","asv_3045",0.455883126515253,"Positive",0.0227002113231642,"Positive",0.597278532515431,"Positive",0.421428018502466,"Positive",0.124763393565482,0.0280025976217589,"sig"
"215","asv_5521",0.166190929559708,"Positive",0.00498796646011561,"Positive",0.496784684565757,"Positive",0.0308709196024565,"Positive",0.124543819640133,0.0227708962051734,"sig"
"216","asv_7612",0.249382952656013,"Positive",4.27315498004106e-08,"Boundary",0.543676551631906,"Positive",0.324615817663807,"Positive",0.123347684810942,0.0258149318448476,"sig"
"217","asv_6584",1.2596977417646,"Positive",0.00271562317952696,"Positive",0.6380712008737,"Positive",4.69694817340184e-08,"Boundary",0.122930949318633,0.0161998087109419,"sig"
"218","asv_10615",0.668330432225852,"Positive",0.0119540658621986,"Positive",0.554460897163454,"Positive",4.09712980618512e-08,"Boundary",0.122539688691594,0.0173629636991232,"sig"
"219","asv_3741",0.507182545371656,"Positive",6.12571321819739e-07,"Boundary",0.557550401042513,"Positive",0.200558037547897,"Positive",0.122396204332301,0.0220315140379325,"sig"
"220","asv_5626",0.311158122004696,"Positive",6.4664277826012e-08,"Boundary",0.575792320541266,"Positive",0.550143357772663,"Positive",0.121806830367086,0.0340730497714874,"sig"
"221","asv_7500",0.804336792623005,"Positive",0.069309368407139,"Positive",0.625527521847568,"Positive",0.3854398111328,"Positive",0.120883911923393,0.0276679204841747,"sig"
"222","asv_7583",0.265629618292186,"Positive",5.95707036929883e-07,"Boundary",0.508923277479866,"Positive",0.162810386295783,"Positive",0.120387856875889,0.0239316659894916,"sig"
"223","asv_5970",0.335148775621928,"Positive",5.37999945511165e-08,"Boundary",0.529269362180743,"Positive",0.289186630652683,"Positive",0.119108107797964,0.028005686804592,"sig"
"224","asv_7678",0.212132348618854,"Positive",4.60984101894947e-08,"Boundary",0.523850527004153,"Positive",0.37350595133151,"Positive",0.119070769837097,0.0258701216438872,"sig"
"225","asv_3291",0.605535115040286,"Positive",0.173556217050876,"Positive",0.627922838892114,"Positive",0.593436342638437,"Positive",0.118689861529818,0.0337145074089688,"sig"
"226","asv_8088",0.519574275864468,"Positive",2.179372830864e-07,"Boundary",0.596811425447616,"Positive",0.63705092573427,"Positive",0.118334271607113,0.0309453758218611,"sig"
"227","asv_5985",0.219397306805262,"Positive",0.060781251534625,"Positive",0.488724950626746,"Positive",0.0856913744111507,"Positive",0.117918630017813,0.027089005961199,"sig"
"228","asv_5808",0.204693184142588,"Positive",4.34426853560049e-08,"Boundary",0.485491330380763,"Positive",0.151556397297139,"Positive",0.117502848227289,0.0266796554574956,"sig"
"229","asv_403",0.289144942417608,"Positive",0.0523435811007276,"Positive",0.517700943978034,"Positive",0.270985972516434,"Positive",0.117122261549088,0.0254450141099609,"sig"
"230","asv_10276",0.335698671956721,"Positive",9.00792935782226e-08,"Boundary",0.489464433082392,"Positive",0.0754051530020212,"Positive",0.116801443723482,0.0222469065218308,"sig"
"231","asv_1682",0.234147723658242,"Positive",5.80448972793849e-08,"Boundary",0.490260731187791,"Positive",0.205155272010507,"Positive",0.116187538849882,0.0218292555558915,"sig"
"232","asv_3852",0.219228455782124,"Positive",5.10564054465063e-08,"Boundary",0.502785656830624,"Positive",0.327534783921398,"Positive",0.115861271045182,0.0272911525192517,"sig"
"233","asv_7832",0.206443142728885,"Positive",0.0217809395212543,"Positive",0.499893958073099,"Positive",0.299011218119402,"Positive",0.115793141262912,0.0269722332579447,"sig"
"234","asv_2899",0.361989668178194,"Positive",0.0167339281659012,"Positive",0.528280973360897,"Positive",0.369204258850163,"Positive",0.115693564003742,0.0271356970257065,"sig"
"235","asv_3053",0.471813388450659,"Positive",0.0135361104366863,"Positive",0.548889129264471,"Positive",0.430822125486654,"Positive",0.115432621727172,0.0307102432350048,"sig"
"236","asv_2667",0.303943693460297,"Positive",0.00893234645627805,"Positive",0.541787408419904,"Positive",0.549956228384869,"Positive",0.115406027693021,0.0327534638787358,"sig"
"237","asv_10627",0.457510746742145,"Positive",0.0437273627361315,"Positive",0.538609126301446,"Positive",0.337698247829442,"Positive",0.115394510496546,0.0275049282426041,"sig"
"238","asv_6859",0.681817573090288,"Positive",5.51036260542234e-07,"Boundary",0.547109617305255,"Positive",0.227833445106709,"Positive",0.115259562426865,0.0240704316387139,"sig"
"239","asv_7042",0.527733599102467,"Positive",0.0528916644884118,"Positive",0.532903810223782,"Positive",0.23681209051781,"Positive",0.114841515171319,0.0284344252119176,"sig"
"240","asv_3238",0.379189073986474,"Positive",6.07969847058834e-07,"Boundary",0.509607859214037,"Positive",0.277976769629043,"Positive",0.114344551389821,0.0259684357652926,"sig"
"241","asv_3901",0.248472042918472,"Positive",0.0362504796159558,"Positive",0.484446403466698,"Positive",0.186985094179,"Positive",0.11409063382165,0.0265735454582408,"sig"
"242","asv_5442",0.40402868119021,"Positive",0.0113480988079706,"Positive",0.516131980456564,"Positive",0.311787308073763,"Positive",0.113853578644401,0.0270046064866562,"sig"
"243","asv_5478",0.330661556992876,"Positive",3.7518662122259e-07,"Boundary",0.491321800027451,"Positive",0.204014787474516,"Positive",0.113837342109124,0.0229762579665977,"sig"
"244","asv_5604",0.360103732820082,"Positive",2.46674195657207e-07,"Boundary",0.478548110469222,"Positive",0.0786273255268056,"Positive",0.113742887792836,0.0241812864297834,"sig"
"245","asv_7246",0.271225566672716,"Positive",0.000834874967928208,"Positive",0.48194821782772,"Positive",0.24309721061223,"Positive",0.112418081669315,0.022380535901029,"sig"
"246","asv_5889",0.15663747012531,"Positive",0.00464127583665417,"Positive",0.460040476664671,"Positive",0.191851938006873,"Positive",0.112118276000371,0.0214771470986647,"sig"
"247","asv_3050",0.248795186202549,"Positive",3.32339575412185e-07,"Boundary",0.486735298338515,"Positive",0.333018946196739,"Positive",0.111673681567617,0.0244985457421271,"sig"
"248","asv_1715",0.231346788346624,"Positive",0.0132282828945234,"Positive",0.457690071331185,"Positive",0.106405918917899,"Positive",0.111667919787828,0.0208643294422547,"sig"
