"","age_window","diet_shannon_h","season","baboon_id"
"144","4_7",1.24832423991798,"dry","b_1047"
"145","3_6",1.44018315572624,"dry","b_1261"
"146","1_4",1.02206573879713,"dry","b_1261"
"147","2_5",1.45331569803005,"dry","b_1261"
"148","1_4",1.64825622631597,"wet","b_1261"
"149","4_7",1.6537805535409,"dry","b_1261"
"150","3_6",1.41419408459048,"wet","b_1261"
"151","2_5",1.62986504725997,"wet","b_1261"
"152","4_7",1.95197717722197,"wet","b_1086"
"153","5_8",1.89727922154126,"wet","b_1086"
"154","3_6",1.88285816467616,"wet","b_1086"
"155","10_13",1.55667570534653,"wet","b_1086"
"156","11_14",1.61703011647811,"wet","b_1086"
"157","12_15",1.65888211245616,"wet","b_1086"
"158","13_28",1.38625259268673,"wet","b_1086"
"159","10_13",1.18181713456514,"dry","b_1086"
"160","11_14",1.10589250788642,"dry","b_1086"
"161","12_15",1.16381241967941,"dry","b_1086"
"162","13_27",1.14654910867632,"dry","b_1086"
"163","2_5",0.835034957430681,"dry","b_1086"
"164","3_6",1.11968852127363,"dry","b_1086"
"165","4_7",1.2616979262375,"dry","b_1086"
"166","5_8",1.41037963171625,"dry","b_1086"
"167","6_9",1.57168795756523,"dry","b_1086"
"168","7_10",1.18504057719331,"dry","b_1086"
"169","8_11",1.36324070875703,"dry","b_1086"
"170","9_12",0.90257639784724,"dry","b_1086"
"171","9_12",1.50571929733507,"wet","b_1086"
"172","6_9",1.84651758685917,"wet","b_1086"
"173","7_10",1.85563399118355,"wet","b_1086"
"174","8_11",1.5882956237594,"wet","b_1086"
"175","3_6",1.88315004679822,"wet","b_778"
"176","2_5",1.88098910942667,"wet","b_778"
"177","1_4",1.64898461906487,"wet","b_778"
"178","3_6",1.35227904614132,"dry","b_158"
"179","3_6",1.54409377977877,"wet","b_158"
"180","4_7",1.58428076875265,"wet","b_158"
"181","1_4",1.76456928820265,"wet","b_158"
"182","2_5",1.68299445162914,"wet","b_158"
"183","4_7",1.19777139653926,"dry","b_1042"
"184","2_5",1.35959208362382,"dry","b_1042"
"185","3_6",1.38177208298569,"dry","b_1042"
"186","4_7",1.29272241330056,"wet","b_1042"
"187","3_6",1.4909802927061,"wet","b_1042"
"188","1_4",1.71154728628635,"dry","b_239"
"189","2_5",1.72285289880401,"dry","b_239"
"190","2_5",1.69572485516298,"wet","b_239"
"191","1_4",1.54422671752444,"wet","b_239"
"192","13_28",1.91582904521204,"wet","b_1045"
"193","13_27",1.32769481136996,"dry","b_1045"
"194","1_4",2.07487650581634,"wet","b_181"
"195","0_3",2.17361952885295,"wet","b_181"
"196","0_3",1.25540401025162,"dry","b_181"
"197","12_15",1.37918698782499,"dry","b_1084"
"198","11_14",1.16256325836302,"dry","b_1084"
"199","13_27",1.5711900572563,"dry","b_1084"
"200","6_9",1.10894526861222,"dry","b_1084"
"201","10_13",1.75536013973313,"wet","b_1084"
"202","11_14",1.57218581297582,"wet","b_1084"
"203","5_8",1.04875938194764,"dry","b_1084"
"204","7_10",1.85565203051459,"wet","b_1084"
"205","7_10",1.03315038267417,"dry","b_1084"
"206","8_11",1.17358195351878,"dry","b_1084"
"207","9_12",1.10176451262103,"dry","b_1084"
"208","10_13",1.18700643800497,"dry","b_1084"
"209","13_28",1.7742927196847,"wet","b_1084"
"210","4_7",1.94524733997676,"wet","b_1084"
"211","5_8",2.00278490061687,"wet","b_1084"
"212","12_15",1.5804108788517,"wet","b_1084"
"213","8_11",1.9443006504471,"wet","b_1084"
"214","9_12",1.88556277781385,"wet","b_1084"
"215","6_9",1.96345366072377,"wet","b_1084"
"216","4_7",1.31802642468565,"dry","b_1019"
"217","0_3",1.64055669834006,"dry","b_1019"
"218","5_8",1.34767422976775,"dry","b_1019"
"219","6_9",1.20216068584416,"dry","b_1019"
"220","0_3",1.68351894674278,"wet","b_1019"
"221","1_4",1.76487557106449,"wet","b_1019"
"222","2_5",1.53335842388669,"wet","b_1019"
"223","3_6",1.63028188305104,"wet","b_1019"
"224","4_7",1.66585564752958,"wet","b_1019"
"225","5_8",1.65441802480129,"wet","b_1019"
"226","6_9",1.60373964640636,"wet","b_1019"
"227","7_10",1.75311532301252,"wet","b_1019"
"228","8_11",1.91798643352552,"wet","b_1019"
"229","1_4",1.33700194205604,"dry","b_1019"
"230","2_5",1.01135909370043,"dry","b_1019"
"231","3_6",1.27931481715197,"dry","b_1019"
"232","8_11",1.33119688784087,"dry","b_1019"
"233","7_10",1.26674685279244,"dry","b_1019"
"234","0_3",1.50088426410972,"wet","b_1020"
"235","1_4",1.34142084455659,"wet","b_1020"
"236","3_6",1.65436407117668,"wet","b_1020"
"237","0_3",1.32412049457466,"dry","b_1020"
"238","1_4",1.31922671549626,"dry","b_1020"
"239","2_5",1.67000286168363,"wet","b_1020"
"240","6_9",1.76655090235333,"wet","b_1020"
"241","4_7",1.50352399553127,"dry","b_1020"
"242","5_8",1.42486009604447,"dry","b_1020"
"243","2_5",1.16793897980632,"dry","b_1020"
"244","3_6",1.56438009750459,"dry","b_1020"
"245","5_8",1.83866497229319,"wet","b_1020"
"246","6_9",1.43858733769104,"dry","b_1020"
"247","4_7",1.85955715200682,"wet","b_1020"
"248","1_4",1.91683242684038,"wet","b_372"
"249","0_3",1.9691249882169,"wet","b_372"
"250","2_5",1.38255161912972,"dry","b_372"
"251","3_6",1.47161671253766,"dry","b_372"
"252","4_7",1.1575663862452,"dry","b_372"
"253","2_5",1.80110642874067,"wet","b_372"
"254","3_6",1.76887185463825,"wet","b_372"
"255","4_7",1.70768047317623,"wet","b_372"
"256","0_3",1.43859074928353,"dry","b_372"
"257","1_4",1.40393234588671,"dry","b_372"
