"","trait","h2_estimate","is_heritable","dataset"
"3296","4454025",1.52e-12,"NS","Goodrich_2014_Yatsunenko"
"3297","4454531",1.04e-10,"NS","Goodrich_2014_TwinsUK"
"3298","4454586",1.11e-15,"NS","Goodrich_2014_Yatsunenko"
"3299","44560",0.249122836,"NS","Goodrich_2014_Yatsunenko"
"3300","4456027",1.05e-12,"NS","Goodrich_2014_Yatsunenko"
"3301","4456576",1.7e-12,"NS","Goodrich_2014_Yatsunenko"
"3302","4456605",6.85e-15,"NS","Goodrich_2014_Yatsunenko"
"3303","4456702",0,"NS","Goodrich_2014_Yatsunenko"
"3304","4457427",0.127353071,"NS","Goodrich_2014_TwinsUK"
"3305","4458306",0.068985949,"NS","Goodrich_2014_Yatsunenko"
"3306","4458576",8.24e-11,"NS","Goodrich_2014_TwinsUK"
"3307","4458576",1.5e-12,"NS","Goodrich_2014_Yatsunenko"
"3308","4458700",0.430216476,"NS","Goodrich_2014_Yatsunenko"
"3309","4458959",0.001710457,"NS","Goodrich_2014_TwinsUK"
"3310","4458959",0.319886815,"NS","Goodrich_2014_Yatsunenko"
"3311","4459196",6.94e-12,"NS","Goodrich_2014_Yatsunenko"
"3312","4459560",0.177576512,"NS","Goodrich_2014_Yatsunenko"
"3313","4459645",2.3e-25,"NS","Goodrich_2014_Yatsunenko"
"3314","4459708",4.5e-17,"NS","Goodrich_2014_Yatsunenko"
"3315","4459940",0.04396214,"NS","Goodrich_2014_Yatsunenko"
"3316","4460021",0.069164128,"NS","Goodrich_2014_TwinsUK"
"3317","4460021",0.386616715,"NS","Goodrich_2014_Yatsunenko"
"3318","4460263",9.39e-12,"NS","Goodrich_2014_Yatsunenko"
"3319","4460847",0,"NS","Goodrich_2014_Yatsunenko"
"3320","4462107",0.411013972,"NS","Goodrich_2014_Turnbaugh"
"3321","4462599",0.027782068,"NS","Goodrich_2014_Yatsunenko"
"3322","4462739",1.18e-25,"NS","Goodrich_2014_Yatsunenko"
"3323","4463709",2.67e-05,"heritable","Goodrich_2014_Turnbaugh"
"3324","446403",0.370295544,"NS","Goodrich_2014_Yatsunenko"
"3325","4464065",0.281860956,"NS","Goodrich_2014_Yatsunenko"
"3326","4464124",0.296527541,"NS","Goodrich_2014_Turnbaugh"
"3327","4464173",0.11383582,"NS","Goodrich_2014_TwinsUK"
"3328","4464533",0.120243487,"NS","Goodrich_2014_Yatsunenko"
"3329","4464717",0.212526912,"NS","Goodrich_2014_Yatsunenko"
"3330","4465072",0.591965088,"heritable","Goodrich_2014_Turnbaugh"
"3331","4465072",1.68e-16,"NS","Goodrich_2014_Yatsunenko"
"3332","4465124",0.204230611,"heritable","Goodrich_2014_TwinsUK"
"3333","4465124",0.611049331,"heritable","Goodrich_2014_Yatsunenko"
"3334","4465275",0.085954491,"NS","Goodrich_2014_Yatsunenko"
"3335","4465471",0.269200435,"NS","Goodrich_2014_Yatsunenko"
"3336","4465905",1.65e-13,"NS","Goodrich_2014_Yatsunenko"
"3337","4465907",0.181175255,"NS","Goodrich_2014_TwinsUK"
"3338","4466006",0.361929625,"heritable","Goodrich_2014_Yatsunenko"
"3339","4466275",0.047961517,"NS","Goodrich_2014_TwinsUK"
"3340","4466275",0.13327963,"NS","Goodrich_2014_Yatsunenko"
"3341","4466707",0.465576833,"NS","Goodrich_2014_Yatsunenko"
"3342","4467447",0.061441245,"NS","Goodrich_2014_TwinsUK"
"3343","4467984",2.07e-14,"NS","Goodrich_2014_Yatsunenko"
"3344","4467992",9.25e-16,"NS","Goodrich_2014_Yatsunenko"
"3345","4468234",0.013518845,"NS","Goodrich_2014_TwinsUK"
"3346","4468384",0.083932315,"NS","Goodrich_2014_TwinsUK"
"3347","4468466",0.344160238,"heritable","Goodrich_2014_TwinsUK"
"3348","4468466",0.485466661,"NS","Goodrich_2014_Yatsunenko"
"3349","4468805",0.127996787,"NS","Goodrich_2014_Yatsunenko"
"3350","4468809",6.24e-14,"NS","Goodrich_2014_Yatsunenko"
"3351","4468891",0.073733289,"NS","Goodrich_2014_Yatsunenko"
"3352","4468892",1.03e-14,"NS","Goodrich_2014_Yatsunenko"
"3353","4469007",0.016376896,"NS","Goodrich_2014_TwinsUK"
"3354","4469007",0.106513179,"NS","Goodrich_2014_Turnbaugh"
"3355","4469302",0.558199776,"heritable","Goodrich_2014_Yatsunenko"
"3356","4469576",0.244497839,"NS","Goodrich_2014_TwinsUK"
"3357","4470092",5.67e-13,"NS","Goodrich_2014_Yatsunenko"
"3358","4470114",0.051956564,"NS","Goodrich_2014_Turnbaugh"
"3359","4470603",0.405597616,"NS","Goodrich_2014_Yatsunenko"
"3360","4470870",0.497703864,"NS","Goodrich_2014_Yatsunenko"
"3361","4471135",1.4e-14,"NS","Goodrich_2014_Yatsunenko"
"3362","4472050",0,"NS","Goodrich_2014_Yatsunenko"
"3363","4472091",1.84e-12,"NS","Goodrich_2014_TwinsUK"
"3364","4472091",0,"NS","Goodrich_2014_Yatsunenko"
"3365","4472130",1.63e-13,"NS","Goodrich_2014_TwinsUK"
"3366","4472130",0,"NS","Goodrich_2014_Yatsunenko"
"3367","4472202",2.41e-13,"NS","Goodrich_2014_Turnbaugh"
"3368","4472399",0.082908068,"NS","Goodrich_2014_TwinsUK"
"3369","4472721",6.87e-12,"NS","Goodrich_2014_TwinsUK"
"3370","4472721",5.88e-14,"NS","Goodrich_2014_Yatsunenko"
"3371","4473116",4.31e-14,"NS","Goodrich_2014_Yatsunenko"
