"","baboon_id","age_in_years","social_groups","hydrological_years","grooming_partner_diversity","grooming_partner_richness"
"249","b_1016",5,"1","1987-1988",2.98290115988672,39
"250","b_1016",6,"1","1988-1989",3.07597208946061,44
"251","b_1016",7,"1-1.1","1989-1990",2.6930287718469,28
"252","b_1016",8,"1.1","1990-1991",1.25608281593288,6
"253","b_1016",9,"1.1","1991-1992",2.01403552370927,8
"254","b_1491",10,"1.21","2004-2005",2.24161296806162,20
"255","b_1491",11,"1.21","2005-2006",2.22724935722897,21
"256","b_1491",12,"1.21","2006-2007",2.14104288101745,17
"257","b_1491",13,"1.21","2007-2008",2.29316158080786,23
"258","b_1491",14,"1.21","2008-2009",2.21388728159326,22
"259","b_1491",15,"1.21","2009",1.46100343370722,6
"260","b_1491",5,"1.21-1.2-1.22","1999-2000",2.53359888712136,21
"261","b_1491",6,"1.21","2000-2001",2.00042736035924,12
"262","b_1491",7,"1.21","2001-2002",2.10930078723159,15
"263","b_1491",8,"1.21","2002-2003",2.29163164447016,18
"264","b_1491",9,"1.21","2003-2004",2.39040927767454,24
"265","b_194",5,"1.11","2016-2017",3.05562518592112,31
"266","b_194",6,"1.11","2017-2018",3.17403815384346,40
"267","b_194",7,"1.11","2018-2019",3.45739118541615,40
"268","b_194",8,"1.11","2019-2020",3.0379204504603,29
"269","b_194",9,"1.11","2020",1.97804776213651,9
"270","b_659",10,"1.22","2005-2006",2.42897349186821,27
"271","b_659",11,"1.22","2006-2007",2.40082911425526,21
"272","b_659",12,"1.22","2007-2008",2.0831147484004,20
"273","b_659",13,"1.22","2008-2009",2.48381338889897,29
"274","b_659",14,"1.22","2009",1.33980612126276,4
"275","b_659",5,"1.22","2000-2001",2.5897639152389,24
"276","b_659",6,"1.22","2001-2002",2.41325032929092,23
"277","b_659",7,"1.22","2002-2003",2.49235864690037,26
"278","b_659",8,"1.22","2003-2004",2.42242895643284,32
"279","b_659",9,"1.22","2004-2005",2.37974660509056,26
"280","b_992",10,"1.11","2011-2012",2.46980840453971,27
"281","b_992",11,"1.11","2012-2013",1.85417993331049,23
"282","b_992",12,"1.11","2013-2014",2.41010023688825,31
"283","b_992",13,"1.11","2014-2015",2.04247074219635,22
"284","b_992",5,"1.1","2006-2007",2.58259765708263,17
"285","b_992",6,"1.1","2007-2008",3.16107137403851,28
"286","b_992",7,"1.1","2008-2009",2.40407739113669,24
"287","b_992",8,"1.1","2009-2010",1.96242831889929,25
"288","b_992",9,"1.11-1.1","2010-2011",2.27480250200054,19
"289","b_693",10,"1.1","2004-2005",2.526456376897,28
"290","b_693",11,"1.1","2005-2006",2.48047385248617,26
"291","b_693",12,"1.1","2006-2007",2.28897872987055,24
"292","b_693",13,"1.1","2007-2008",2.35338635175973,23
"293","b_693",14,"1.1","2008-2009",2.14276747279061,22
"294","b_693",15,"1.1","2009-2010",2.5623891150739,32
"295","b_693",16,"1.12-1.1","2010-2011",1.87666533402146,13
"296","b_693",17,"1.12","2011-2012",2.45411299769737,18
"297","b_693",18,"1.12","2012",1.48689522688818,6
"298","b_693",5,"1.1","1999-2000",2.85127151360689,34
"299","b_693",6,"1.1","2000-2001",2.50485846324449,23
"300","b_693",7,"1.1","2001-2002",3.06487056554753,35
"301","b_693",8,"1.1","2002-2003",2.56834804056705,33
"302","b_693",9,"1.1","2003-2004",2.4379321113888,29
"303","b_983",10,"1.21","2011",1.03972077083992,3
"304","b_983",11,"1.211","2012-2013",2.38023630351302,22
"305","b_983",12,"1.211","2013-2014",2.26281330048364,26
"306","b_983",13,"1.211","2014-2015",2.55448373979325,24
"307","b_983",14,"1.211","2015-2016",2.2814488323528,20
"308","b_983",15,"1.211","2016-2017",2.54604758962263,26
"309","b_983",16,"1.211","2017-2018",2.11643921122468,23
"310","b_983",5,"1.21","2006-2007",2.05297694739431,16
"311","b_983",6,"1.21","2007-2008",2.48071966451848,26
"312","b_983",7,"1.21","2008-2009",2.29774004024398,20
"313","b_983",8,"1.21","2009-2010",2.13092153730041,17
"314","b_983",9,"1.21","2010-2011",1.94169316063594,15
"315","b_386",10,"1.22-1.221-1.222","2013-2014",2.41162313819504,27
"316","b_386",11,"1.222","2014-2015",2.78718304851674,31
"317","b_386",12,"1.222","2015-2016",2.27211209932238,21
"318","b_386",13,"1.222","2016-2017",2.19962276229811,28
"319","b_386",14,"1.222-1.2221-1.2222","2017-2018",2.64178238780968,32
"320","b_386",15,"1.2221","2018",2.11598501286106,18
"321","b_386",5,"1.22","2008-2009",3.08476602734905,33
"322","b_386",6,"1.22","2009-2010",2.97665617911949,36
"323","b_386",7,"1.22","2010-2011",2.4192926542132,31
"324","b_386",8,"1.22","2011-2012",2.18646760139534,20
"325","b_386",9,"1.22","2012-2013",2.26886726770801,27
"326","b_879",10,"1.21","2000-2001",2.24925257454183,17
"327","b_879",11,"1.21","2001-2002",2.21551210781733,17
"328","b_879",12,"1.21","2002-2003",2.12928530963346,16
"329","b_879",13,"1.21","2003-2004",2.59563118333863,24
"330","b_879",14,"1.21","2004-2005",2.48168885735974,19
"331","b_879",15,"1.21","2005-2006",2.19975377966673,18
"332","b_879",16,"1.21","2006-2007",2.00802005988696,15
"333","b_879",17,"1.21","2007-2008",2.37616523999107,26
"334","b_879",18,"1.21","2008-2009",2.39114020559227,22
"335","b_879",19,"1.21","2009-2010",2.22050512435996,19
"336","b_879",20,"1.21","2010-2011",2.24975378699647,15
"337","b_879",21,"1.211","2012",2.5263768071677,14
"338","b_879",22,"1.211","2012-2013",2.58271190015984,25
"339","b_879",23,"1.211","2013-2014",2.46054704748468,21
"340","b_879",24,"1.211","2014-2015",2.75086275363367,21
"341","b_879",25,"1.211","2015-2016",2.16206357816363,17
"342","b_879",5,"1.2","1996",2.67184556881786,19
"343","b_879",6,"1.2","1996-1997",3.13121742257117,32
"344","b_879",7,"1.2","1997-1998",2.10588081309211,19
"345","b_879",8,"1.2-1.21","1998-1999",2.19033164675531,19
"346","b_879",9,"1.21","1999-2000",1.97297881216587,15
"347","b_409",10,"1.221","2015-2016",2.0787264001169,22
"348","b_409",11,"1.221","2016-2017",2.58391772462215,28
"349","b_409",12,"1.221","2017-2018",2.79035465403313,29
"350","b_409",13,"1.221","2018-2019",2.24162079094339,20
"351","b_409",14,"1.221","2019",2.51345555257786,19
"352","b_409",5,"1.22","2010-2011",3.2519343220009,37
"353","b_409",6,"1.22","2011-2012",2.95976188619805,26
"354","b_409",7,"1.22","2012-2013",2.42173797326504,30
"355","b_409",8,"1.22-1.222-1.221","2013-2014",1.97714987849866,23
"356","b_409",9,"1.221-1.22","2014-2015",1.90257253600163,24
"357","b_218",10,"1.211","2018-2019",2.63402508015349,25
"358","b_218",11,"1.211","2019-2020",2.09032937553791,10
"359","b_218",5,"1.211","2013-2014",2.85017605946553,29
"360","b_218",6,"1.211","2014-2015",2.73626361312657,23
"361","b_218",7,"1.211","2015-2016",2.32000353472333,26
"362","b_218",8,"1.211","2016-2017",2.43478231430351,29
"363","b_218",9,"1.211","2017-2018",2.78420594059022,34
"364","b_802",10,"1.221","2017-2018",2.6328809751487,21
"365","b_802",11,"1.221","2018-2019",2.91478941434483,26
"366","b_802",12,"1.221","2019",1.74786809746676,6
"367","b_802",5,"1.22","2012-2013",1.99744442075375,20
"368","b_802",6,"1.221-1.22","2013-2014",2.68333990282023,22
"369","b_802",7,"1.221","2014-2015",2.89324468060027,25
"370","b_802",8,"1.221","2015-2016",2.79802329582331,22
"371","b_802",9,"1.221","2016-2017",2.78785061591393,24
"372","b_981",5,"1.21","2003-2004",2.0516410277925,17
"373","b_385",5,"1.22","2006-2007",2.27023443347288,20
"374","b_385",6,"1.22","2007-2008",2.64130540685768,29
"375","b_385",7,"1.22","2008-2009",2.36855908433975,15
"376","b_242",5,"1.221","2015-2016",2.93784306809495,29
"377","b_242",6,"1.221","2016-2017",3.10949857211015,32
"378","b_242",7,"1.221","2017-2018",2.96423179821537,31
"379","b_242",8,"1.221","2018-2019",2.86141763448323,30
"380","b_242",9,"1.221","2019",2.25156411371032,14
"381","b_407",10,"1.22","2012-2013",2.21973192979197,20
"382","b_407",11,"1.22-1.221","2013-2014",2.7616471432022,33
"383","b_407",12,"1.221","2014-2015",2.12651861855132,24
"384","b_407",13,"1.221","2015-2016",2.49988960854522,21
"385","b_407",14,"1.221","2016-2017",2.15556715896352,18
"386","b_407",15,"1.221","2017-2018",2.63123791697174,25
"387","b_407",16,"1.221","2018-2019",2.65377604871998,27
"388","b_407",17,"1.221","2019",2.69834128834536,24
"389","b_407",5,"1.22","2007-2008",2.55765812076155,33
"390","b_407",6,"1.22","2008-2009",2.82540313570375,27
"391","b_407",7,"1.22","2009-2010",3.17380378134255,37
"392","b_407",8,"1.22","2010-2011",2.72998992725925,29
"393","b_407",9,"1.22","2011-2012",2.69219404394382,27
"394","b_260",10,"1.221","2019",3.17523109698706,32
"395","b_260",5,"1.221-1.22","2014-2015",3.12054032888968,28
"396","b_260",6,"1.221","2015-2016",2.94167872142999,32
"397","b_260",7,"1.221","2016-2017",2.87456924710144,32
"398","b_260",8,"1.221","2017-2018",2.65139869096093,35
"399","b_260",9,"1.221","2018-2019",3.06738913653871,32
"400","b_122",5,"1.211","2015-2016",2.52881742513134,23
"401","b_122",6,"1.211","2016-2017",2.80109562313417,25
"402","b_122",7,"1.211","2017-2018",2.48388289275672,26
"403","b_122",8,"1.211","2018-2019",2.70820287502795,27
"404","b_122",9,"1.211","2019-2020",2.49546355950336,17
"405","b_954",10,"1.222","2015-2016",2.61895280948073,27
"406","b_954",11,"1.222","2016-2017",2.7989911487138,30
"407","b_954",12,"1.2222-1.222","2017-2018",2.92978816806468,29
"408","b_954",13,"1.2222","2018-2019",2.35613719126809,17
"409","b_954",14,"1.2222","2019",2.17235479617423,12
"410","b_954",5,"1.22","2010-2011",3.08614177374413,38
"411","b_954",6,"1.22","2011-2012",2.78596713465656,25
"412","b_954",7,"1.22","2012-2013",2.28304750272211,21
"413","b_954",8,"1.22-1.222","2013-2014",2.58414708198455,26
"414","b_954",9,"1.222-1.22","2014-2015",2.47918737433176,27
"415","b_405",10,"1.22","2009-2010",2.62317227902852,26
"416","b_405",11,"1.22","2010-2011",2.38515556967316,28
"417","b_405",12,"1.22","2011-2012",2.40823337808056,24
"418","b_405",13,"1.22","2012-2013",1.88521574122815,20
"419","b_405",14,"1.22-1.221","2013-2014",1.88567046106083,17
"420","b_405",15,"1.221","2014-2015",2.50130239521983,27
"421","b_405",16,"1.221","2015-2016",2.7213823991722,28
"422","b_405",17,"1.221","2016-2017",2.5827136092609,29
"423","b_405",18,"1.221","2017-2018",2.56246999477008,27
"424","b_405",19,"1.221","2018-2019",2.63398962812512,28
"425","b_405",20,"1.221","2019",2.79712806244561,25
"426","b_405",5,"1.22","2004-2005",2.9110956716285,32
"427","b_405",6,"1.22","2005-2006",2.87482796157328,28
"428","b_405",7,"1.22","2006-2007",2.24742398980057,15
"429","b_405",8,"1.22","2007-2008",2.78096665232469,33
"430","b_405",9,"1.22","2008-2009",2.41884901409139,27
"431","b_1075",10,"1.1","2002-2003",2.28448380389119,19
"432","b_1075",11,"1.1","2003-2004",2.32094328893777,24
"433","b_1075",12,"1.1","2004-2005",2.35368218454347,20
"434","b_1075",13,"1.1","2005-2006",2.79603380107639,27
"435","b_1075",14,"1.1","2006",2.27518959032194,19
"436","b_1075",15,"1.1","2007",1.71934675150382,8
"437","b_1075",5,"1.1","1997-1998",2.71516611341194,26
"438","b_1075",6,"1.1","1998-1999",2.69335242696635,30
"439","b_1075",7,"1.1","1999-2000",2.88843195468574,34
"440","b_1075",8,"1.1","2000-2001",2.45438932532363,28
"441","b_1075",9,"1.1","2001-2002",2.02727208449338,20
"442","b_170",10,"1.11","2019-2020",2.52086690884447,14
"443","b_170",5,"1.11","2014-2015",2.38359902534119,21
"444","b_170",6,"1.11","2016",2.05847114640621,21
"445","b_170",7,"1.11","2016-2017",1.81303429673731,19
"446","b_170",8,"1.11","2017-2018",2.26145300483151,26
"447","b_170",9,"1.11","2018-2019",3.24473402779389,32
